command,raw_parsing,output,reward,task_done,task_number,difficulty,step_number
Place at the cabinet_0,"execute(Action, lambda x: place(x, iota(Object, lambda y: cabinet_0(y))))",Success,0,False,10,2,3
Pick up the notebook_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: notebook_0(y))))",Success,0,False,10,2,4
Place at the cabinet_0,"execute(Action, lambda x: place(x, iota(Object, lambda y: cabinet_0(y))))",Success,0,False,10,2,5
Pick up the sock_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: sock_0(y))))",Success,0,False,10,2,6
Place at the cabinet_0,"execute(Action, lambda x: place(x, iota(Object, lambda y: cabinet_0(y))))",Success,0,False,10,2,7
Pick up the sock_1,"execute(Action, lambda x: pick(x, iota(Object, lambda y: sock_1(y))))",Success,0,False,10,2,8
Place at the cabinet_0,"execute(Action, lambda x: place(x, iota(Object, lambda y: cabinet_0(y))))",Success,0,False,10,2,9
Pick up the gym_shoe_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: gym_shoe_0(y))))",Success,0,False,10,3,0
Place at the cabinet_0,"execute(Action, lambda x: place(x, iota(Object, lambda y: cabinet_0(y))))",Success,0,False,10,3,1
Pick up the necklace_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: necklace_0(y))))",Success,0,False,10,3,2
Place at the cabinet_0,"execute(Action, lambda x: place(x, iota(Object, lambda y: cabinet_0(y))))",Success,0,False,10,3,3
Pick up the notebook_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: notebook_0(y))))",Success,0,False,10,3,4
Place at the table_1,"execute(Action, lambda x: place(x, iota(Object, lambda y: table_1(y))))",Success,0,False,10,3,5
Pick up the sock_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: sock_0(y))))",Success,0,False,10,3,6
Place at the sofa_0,"execute(Action, lambda x: place(x, iota(Object, lambda y: sofa_0(y))))",Success,0,False,10,3,7
Pick up the sock_1,"execute(Action, lambda x: pick(x, iota(Object, lambda y: sock_1(y))))",Success,0,False,10,3,8
Place at the table_1,"execute(Action, lambda x: place(x, iota(Object, lambda y: table_1(y))))",Success,0,False,10,3,9
Pick up the white marker_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: marker_0(y) and white(y))))",Success,0,False,11,1,0
Place at the table_0,"execute(Action, lambda x: place(x, iota(Object, lambda y: table_0(y))))",Success,0,False,11,1,1
Pick up the white marker at the same location as the chair_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: marker(y) and white(y) and atsamelocation(y, iota(Object, lambda z: chair_0(z))))))",Success,0,False,11,2,0
Place at the table_0 at the same location as the document_0,"execute(Action, lambda x: place(x, iota(Object, lambda y: table_0(y) and atsamelocation(y, iota(Object, lambda z: document_0(z))))))",Success,0,False,11,2,1
Pick up the white marker at the same location as the chair_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: marker(y) and white(y) and atsamelocation(y, iota(Object, lambda z: chair_0(z))))))",Success,0,False,11,3,0
Place at the table_0 at the same location as the document_0,"execute(Action, lambda x: place(x, iota(Object, lambda y: table_0(y) and atsamelocation(y, iota(Object, lambda z: document_0(z))))))",Success,0,False,11,3,1
Pick up document_0 from the table,"execute(Action, lambda x: pick(x, iota(Object, lambda y: document_0(y) and on(y, iota(Object, lambda z: table(z))))))",Failed parsing,0,False,12,1,0
Pick up document_0 from the table_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: document_0(y) and on(y, iota(Object, lambda z: table_0(z))))))",Failed parsing,0,False,12,2,0
Pick up document_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: document_0(y))))",Success,0,False,12,3,0
Place at the cabinet_0,"execute(Action, lambda x: place(x, iota(Object, lambda y: cabinet_0(y))))",Success,0,False,12,3,1
Pick up document_1,"execute(Action, lambda x: pick(x, iota(Object, lambda y: document_1(y))))",Success,0,False,12,3,2
Place at the cabinet_0,"execute(Action, lambda x: place(x, iota(Object, lambda y: cabinet_0(y))))",Success,0,False,12,3,3
Pick up document_2,"execute(Action, lambda x: pick(x, iota(Object, lambda y: document_2(y))))",Success,0,False,12,3,4
Place at the cabinet_0,"execute(Action, lambda x: place(x, iota(Object, lambda y: cabinet_0(y))))",Success,0,False,12,3,5
Pick up document_3,"execute(Action, lambda x: pick(x, iota(Object, lambda y: document_3(y))))",Success,0,False,12,3,6
Place at the cabinet_0,"execute(Action, lambda x: place(x, iota(Object, lambda y: cabinet_0(y))))",Success,0,False,12,3,7
Pick up document_1 from the cabinet_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: document_1(y) and infront(y, iota(Object, lambda z: cabinet_0(z))))))",No valid target,0,False,13,1,0
Pick up the marker_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: marker_0(y))))",Success,0,False,13,2,0
Place at the table_0,"execute(Action, lambda x: place(x, iota(Object, lambda y: table_0(y))))",Success,0,False,13,2,1
Pick up the document_1,"execute(Action, lambda x: pick(x, iota(Object, lambda y: document_1(y))))",Success,0,False,13,2,2
Place at the table_0,"execute(Action, lambda x: place(x, iota(Object, lambda y: table_0(y))))",Success,0,False,13,2,3
Pick up the document_3,"execute(Action, lambda x: pick(x, iota(Object, lambda y: document_3(y))))",Success,0,False,13,2,4
Place at the table_0,"execute(Action, lambda x: place(x, iota(Object, lambda y: table_0(y))))",Success,0,False,13,2,5
Pick up the folder_1,"execute(Action, lambda x: pick(x, iota(Object, lambda y: folder_1(y))))",Success,0,False,13,2,6
Place at the table_0,"execute(Action, lambda x: place(x, iota(Object, lambda y: table_0(y))))",Success,0,False,13,2,7
Pick up the marker_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: marker_0(y))))",Success,0,False,13,3,0
Place at the table_0,"execute(Action, lambda x: place(x, iota(Object, lambda y: table_0(y))))",Success,0,False,13,3,1
Pick up the document_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: document_0(y))))",Success,0,False,13,3,2
Place at the table_0,"execute(Action, lambda x: place(x, iota(Object, lambda y: table_0(y))))",Success,0,False,13,3,3
Pick up the document_2,"execute(Action, lambda x: pick(x, iota(Object, lambda y: document_2(y))))",Success,0,False,13,3,4
Place at the table_0,"execute(Action, lambda x: place(x, iota(Object, lambda y: table_0(y))))",Success,0,False,13,3,5
Pick up the folder_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: folder_0(y))))",Success,0,False,13,3,6
Place at the table_0,"execute(Action, lambda x: place(x, iota(Object, lambda y: table_0(y))))",Success,0,False,13,3,7
Pick up the document_1,"execute(Action, lambda x: pick(x, iota(Object, lambda y: document_1(y))))",Success,0,False,13,3,8
Place at the table_0,"execute(Action, lambda x: place(x, iota(Object, lambda y: table_0(y))))",Success,0,False,13,3,9
Pick up the document_3,"execute(Action, lambda x: pick(x, iota(Object, lambda y: document_3(y))))",Success,0,False,13,3,10
Place at the table_0,"execute(Action, lambda x: place(x, iota(Object, lambda y: table_0(y))))",Success,0,False,13,3,11
Pick up the folder_1,"execute(Action, lambda x: pick(x, iota(Object, lambda y: folder_1(y))))",Success,0,False,13,3,12
Place at the table_0,"execute(Action, lambda x: place(x, iota(Object, lambda y: table_0(y))))",Success,0,False,13,3,13
Pick up the white marker_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: marker_0(y) and white(y))))",Success,0,False,14,1,0
Place at the cabinet_0,"execute(Action, lambda x: place(x, iota(Object, lambda y: cabinet_0(y))))",Success,0,False,14,1,1
Pick up the white document_1,"execute(Action, lambda x: pick(x, iota(Object, lambda y: white(y) and document_1(y))))",Success,0,False,14,1,2
Place at the chair_0,"execute(Action, lambda x: place(x, iota(Object, lambda y: chair_0(y))))",Success,0,False,14,1,3
Pick up the white document_3,"execute(Action, lambda x: pick(x, iota(Object, lambda y: document_3(y) and white(y))))",Success,0,False,14,1,4
Place at the chair_0,"execute(Action, lambda x: place(x, iota(Object, lambda y: chair_0(y))))",Nowhere to place,0,False,14,1,5
Pick up the white marker_0 on the chair_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: marker(y) and white(y) and on(y, iota(Object, lambda z: chair(z))))))",Failed parsing,0,False,14,2,0
Pick up the marker_0 from the chair_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: marker_0(y) and on(y, iota(Object, lambda z: chair_0(z))))))",Failed parsing,0,False,14,3,0
Pick up the white marker_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: marker_0(y) and white(y))))",Success,0,False,15,1,0
Place at the table_0,"execute(Action, lambda x: place(x, iota(Object, lambda y: table_0(y))))",Success,0,False,15,1,1
Pick up the white document_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: document_0(y) and white(y))))",Success,0,False,15,1,2
Place at the cabinet_0,"execute(Action, lambda x: place(x, iota(Object, lambda y: cabinet_0(y))))",Success,0,False,15,1,3
Pick up the white document_2,"execute(Action, lambda x: pick(x, iota(Object, lambda y: white(y) and document_2(y))))",Success,0,False,15,1,4
Place at the cabinet_0,"execute(Action, lambda x: place(x, iota(Object, lambda y: cabinet_0(y))))",Success,0,False,15,1,5
Pick up the white folder_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: folder_0(y) and white(y))))",Success,0,False,15,1,6
Place at the cabinet_0,"execute(Action, lambda x: place(x, iota(Object, lambda y: cabinet_0(y))))",Success,0,False,15,1,7
Pick up the white document_1,"execute(Action, lambda x: pick(x, iota(Object, lambda y: white(y) and document_1(y))))",Success,0,False,15,1,8
Place at the cabinet_0,"execute(Action, lambda x: place(x, iota(Object, lambda y: cabinet_0(y))))",Success,0,False,15,1,9
Pick up the white document_3,"execute(Action, lambda x: pick(x, iota(Object, lambda y: document_3(y) and white(y))))",Success,0,False,15,1,10
Place at the cabinet_0,"execute(Action, lambda x: place(x, iota(Object, lambda y: cabinet_0(y))))",Success,0,False,15,1,11
Pick up the white folder_1,"execute(Action, lambda x: pick(x, iota(Object, lambda y: folder_1(y) and white(y))))",Success,0,False,15,1,12
Place at the cabinet_0,"execute(Action, lambda x: place(x, iota(Object, lambda y: cabinet_0(y))))",Success,0,False,15,1,13
Pick up the white marker_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: marker_0(y) and white(y))))",Success,0,False,15,2,0
Place at the table_0,"execute(Action, lambda x: place(x, iota(Object, lambda y: table_0(y))))",Success,0,False,15,2,1
Pick up the white document_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: document_0(y) and white(y))))",Success,0,False,15,2,2
Place at the cabinet_0,"execute(Action, lambda x: place(x, iota(Object, lambda y: cabinet_0(y))))",Success,0,False,15,2,3
Pick up the white document_2,"execute(Action, lambda x: pick(x, iota(Object, lambda y: document_2(y) and white(y))))",Success,0,False,15,2,4
Place at the cabinet_0,"execute(Action, lambda x: place(x, iota(Object, lambda y: cabinet_0(y))))",Success,0,False,15,2,5
Pick up the marker_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: marker_0(y))))",Success,0,False,15,3,0
Place at the table_0,"execute(Action, lambda x: place(x, iota(Object, lambda y: table_0(y))))",Success,0,False,15,3,1
Pick up the document_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: document_0(y))))",Success,0,False,15,3,2
Place at the folder_0,"execute(Action, lambda x: place(x, iota(Object, lambda y: folder_0(y))))",Failed parsing,0,False,15,3,3
Pick up the broom_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: broom_0(y))))",Success,0,False,0,1,0
Place at the cabinet_0,"execute(Action, lambda x: place(x, iota(Object, lambda y: cabinet_0(y))))",Success,0,False,0,1,1
Pick up the broom_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: broom_0(y))))",Success,0,False,0,2,0
Place at the cabinet_0,"execute(Action, lambda x: place(x, iota(Object, lambda y: cabinet_0(y))))",Success,0,False,0,2,1
Pick up the broom_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: broom_0(y))))",Success,0,False,0,3,0
Place at the cabinet_0,"execute(Action, lambda x: place(x, iota(Object, lambda y: cabinet_0(y))))",Success,0,False,0,3,1
Pick up the broom_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: broom_0(y))))",Success,0,False,1,1,0
Place at the countertop_0,"execute(Action, lambda x: place(x, iota(Object, lambda y: countertop_0(y))))",Success,0,False,1,1,1
Pick up the rag_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: rag_0(y))))",Success,0,False,1,1,2
Place at the countertop_0,"execute(Action, lambda x: place(x, iota(Object, lambda y: countertop_0(y))))",Success,0,False,1,1,3
Pick up the bin_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: bin_0(y))))",Type of action cannot be performed,0,False,1,1,4
Pick up the broom_0,"execute(Action, lambda x: pick(x, iota(Object, lambda y: broom_0(y))))",Success,0,False,1,2,0
Place at the countertop_0,"execute(Action, lambda x: place(x, iota(Object, lambda y: countertop_0(y))))",Success,0,False,1,2,1
